Module,Lesson,Objective,Activity,Assessment,Assets Needed,AI Coach Role,Status
Safety Academy,Welcome To OPREALM Safety,Student understands why safety comes first,Watch intro and choose safety pledge,Safety pledge completion,"Facecam intro; mascot animation",Explain why safety matters in kid-friendly language,Not Started
Safety Academy,Private Information,Student can identify information they should never share online,Sort safe vs private information cards,Scenario quiz,"Animated explainer; quiz cards",Give hints during scenarios,Not Started
Safety Academy,Safe Chat Behaviour,Student can describe respectful and safe chat habits,Choose safe responses to chat examples,Chat safety quiz,"Scenario slides; Roblox-style chat examples",Explain why a message is safe or unsafe,Not Started
Safety Academy,Scams And Fake Rewards,Student can spot common fake currency item and link scams,Identify scam examples,Scam spotting quiz,Animated scam examples,Warn against suspicious links or free reward promises,Not Started
Safety Academy,Reporting And Blocking,Student knows how to report block and ask for help,Watch Roblox reporting demo,Screenshot or quiz task,Screen recording,Remind student to involve a trusted adult,Not Started
Safety Academy,Multiplayer Safety,Student understands public servers private servers friend lists and voice chat risks,Complete multiplayer safety checklist,Checklist pass,Visual checklist,Explain public vs private multiplayer,Not Started
Safety Academy,Healthy Gaming Habits,Student understands breaks posture frustration and screen balance,Create a healthy gaming plan,Short reflection task,Parent handout,Encourage calm breaks when stuck,Not Started
Safety Academy,Safety Final Check,Student proves safety readiness before unlocking build lessons,Complete final safety quiz,Required pass mark,Final quiz,Give hints not direct answers,Not Started
Tech Setup & Readiness,Parent Setup Guide,Parent understands what the child needs before starting,Parent watches setup overview,Parent confirmation,"Parent video; checklist PDF",Answer parent setup questions,Not Started
Tech Setup & Readiness,Creating A Roblox Account,Student and parent understand safe account setup,Follow account setup guide,Parent confirms setup,"Screen recording; privacy checklist",Remind not to share passwords,Not Started
Tech Setup & Readiness,Installing Roblox Studio,Student can install and open Roblox Studio,Install or verify Studio opens,Screenshot upload,Installation guide,Troubleshoot common install issues,Not Started
Tech Setup & Readiness,Computer Basics,Student understands folders saving copy/paste and downloads,Save a practice file in a folder,Screenshot upload,Practice worksheet,Explain steps slowly,Not Started
Tech Setup & Readiness,Screenshots And Help Requests,Student can take a screenshot and explain what went wrong,Take a screenshot and write one help sentence,Upload screenshot,Screenshot guide,Help write clear support requests,Not Started
Tech Setup & Readiness,Keyboard Mouse And Trackpad Basics,Student understands basic controls for learning,Complete input checklist,Checklist completion,"Keyboard overlay; trackpad guide",Adapt help based on device,Not Started
Tech Setup & Readiness,Audio And Microphone Check,Student can check sound and microphone if needed,Run audio check,Parent/student confirmation,Audio check guide,Troubleshoot sound basics,Not Started
Tech Setup & Readiness,Troubleshooting Basics,Student learns restart update screenshot and ask for help flow,Practice troubleshooting scenario,Short quiz,Troubleshooting flowchart,Guide student through safe steps,Not Started
Roblox Studio Foundations,Opening Roblox Studio,Student can open Studio and identify the main panels,Label interface areas,Mini quiz,"Screen recording; interface map","Explain Explorer Properties Viewport",Not Started
Roblox Studio Foundations,Camera Controls,Student can orbit pan zoom and move around the workspace,Complete camera control challenge,Reach all markers in practice map,"Practice map; keyboard overlay",Give device-specific control tips,Not Started
Roblox Studio Foundations,Selecting And Moving Objects,Student can select move and duplicate parts,Move blocks into target zones,Screenshot task,Practice map,Explain selection mistakes,Not Started
Roblox Studio Foundations,Scaling And Rotating Parts,Student can resize and rotate objects accurately,Match block shapes to outlines,Screenshot task,Challenge template,Explain handles and rotation,Not Started
Roblox Studio Foundations,Parts Materials And Colours,Student can create basic parts and customize their look,Build a themed platform room,Project screenshot,Materials demo file,Suggest safe readable design choices,Not Started
Roblox Studio Foundations,Grouping And Organizing,Student can group objects and name them clearly,Group a mini obstacle set,Checklist task,Organization guide,Recommend simple names,Not Started
Roblox Studio Foundations,Spawn Points And Play Testing,Student can add a spawn point and test their game,Add spawn and press play,Short video or screenshot,Screen recording,Help with test mode confusion,Not Started
Roblox Studio Foundations,Foundation Challenge,Student combines basic tools into a small playable room,Build a mini obstacle room,Submission review,Challenge brief,Checklist mode only,Not Started
First Obby Builder,What Makes A Good Obby,Student understands start challenge progress and finish,Review simple obby examples,Design quiz,Example gameplay clips,Suggest beginner-friendly layouts,Not Started
First Obby Builder,Building The Start Area,Student creates a clear start point and first platform,Build start zone,Screenshot task,Starter template,Help with scale and spacing,Not Started
First Obby Builder,Jump Platforms,Student creates fair jump sections,Build 5 jumps,Playtest pass,Jump distance guide,Help adjust difficulty,Not Started
First Obby Builder,Lava And Hazards,Student adds a safe beginner hazard,Add lava kill part,Script check or playtest,"Script snippet; demo video",Explain hazard script line by line,Not Started
First Obby Builder,Checkpoints,Student adds checkpoints so progress is saved during play,Add 2 checkpoints,Playtest pass,Checkpoint script/template,Debug checkpoint issues,Not Started
First Obby Builder,Coins And Score,Student adds collectible coins and a simple score,Add 5 coins,Score increases during test,"Coin model; script snippet",Explain events and variables simply,Not Started
First Obby Builder,Sounds And Feedback,Student adds simple sound effects and visual feedback,Add jump win and coin sounds,Playtest check,Audio asset list,Suggest safe sound choices,Not Started
First Obby Builder,Simple UI And Win Zone,Student adds a win message or finish screen,Build finish zone,Screenshot/video task,UI template,Explain UI elements,Not Started
First Obby Builder,Safety Before Sharing,Student checks privacy game name description and sharing rules,Complete publishing safety checklist,Required checklist pass,Parent checklist,Enforce safety rules,Not Started
First Obby Builder,Final Obby Submission,Student submits their finished first game,Upload screenshots/video and reflection,Final project review,Project rubric,"Checklist mode only; no direct completion",Not Started
Beginner Certification,Final Certification Review,Student proves readiness for the next pathway,Submit final evidence and reflection,Certification requirements checked,Certificate template,Encourage reflection and next steps,Not Started
